iter	MAE
0	3.925611638
1	3.831590065
2	3.708389924
3	3.591230276
4	3.512663481
5	3.440155724
6	3.340908865
7	3.256269425
8	3.165159093
9	3.096861208
10	3.041598404
11	2.993493984
12	2.923454754
13	2.87088579
14	2.793575333
15	2.723919662
16	2.672667679
17	2.616304375
18	2.570538397
19	2.528756472
20	2.485631396
21	2.441761042
22	2.399533183
23	2.354760763
24	2.314240243
25	2.258940588
26	2.221846785
27	2.1779928
28	2.139040117
29	2.099623707
30	2.069089685
31	2.050771661
32	2.028147797
33	1.983988475
34	1.960045243
35	1.938458723
36	1.916374472
37	1.900671823
38	1.870561232
39	1.849902993
40	1.835958214
41	1.817472849
42	1.79129978
43	1.774482431
44	1.745716403
45	1.713169907
46	1.690194916
47	1.677041957
48	1.654356801
49	1.627924263
50	1.615805747
51	1.601627771
52	1.5809071
53	1.568067862
54	1.542838266
55	1.52720585
56	1.512193242
57	1.495602009
58	1.474701638
59	1.465979752
60	1.452982527
61	1.436393195
62	1.421080683
63	1.40997683
64	1.395361678
65	1.379432738
66	1.364721103
67	1.351332717
68	1.339472731
69	1.323277363
70	1.31567295
71	1.297225758
72	1.286936437
73	1.264574173
74	1.251924407
75	1.241770767
76	1.229606684
77	1.220340405
78	1.210857864
79	1.198613674
80	1.189002739
81	1.180185839
82	1.168794009
83	1.161702998
84	1.15029186
85	1.14732237
86	1.135299295
87	1.126361384
88	1.111101844
89	1.098253362
90	1.078047555
91	1.067925872
92	1.06169196
93	1.055736571
94	1.050129078
95	1.041015577
96	1.032518294
97	1.018697354
98	1.016343695
99	1.01136454
100	1.007289372
101	0.9998699021
102	0.99159085
103	0.9842495168
104	0.9711871878
105	0.9680235731
106	0.9610472181
107	0.9593818232
108	0.9521675496
109	0.9440779539
110	0.9392478359
111	0.9333774745
112	0.9252702144
113	0.9214446838
114	0.9166881113
115	0.913318884
116	0.9063147791
117	0.898976694
118	0.8941900083
119	0.8891655602
120	0.8823656197
121	0.8774257138
122	0.8733552865
123	0.8705480011
124	0.8662278829
125	0.8618559141
126	0.8599996947
127	0.8545232068
128	0.8518901223
129	0.8465776001
130	0.8429536959
131	0.8366311619
132	0.8333296628
133	0.8303989139
134	0.8262817104
135	0.8207681132
136	0.817431355
137	0.810275562
138	0.8035266584
139	0.8010354741
140	0.7940669791
141	0.7915213584
142	0.7878490014
143	0.7847884666
144	0.7837199458
145	0.7812089502
146	0.7774512739
147	0.7752731451
148	0.7711471488
149	0.7684791985
150	0.7659520525
151	0.7637018845
152	0.7607819513
153	0.7590974056
154	0.7581714994
155	0.7552959041
156	0.7525448521
157	0.7504437788
158	0.7472428099
159	0.745181191
160	0.7392574131
161	0.7343995052
162	0.7328056144
163	0.7297716199
164	0.7260705237
165	0.7227813937
166	0.720151842
167	0.7192002106
168	0.7174848825
169	0.7155790605
170	0.713768228
171	0.7100183371
172	0.705897094
173	0.7037086381
174	0.6993569359
175	0.6966319566
176	0.6933952444
177	0.6921582963
178	0.6886962562
179	0.6862181358
180	0.6847666044
181	0.68329171
182	0.6818502014
183	0.6801986711
184	0.6779479616
185	0.6762136272
186	0.6753516459
187	0.6704498677
188	0.6660978345
189	0.6635804666
190	0.6613733438
191	0.6578810743
192	0.6554131827
193	0.6526655827
194	0.6476958804
195	0.6454250173
196	0.6408634019
197	0.6404439451
198	0.6383262
199	0.6363526363
200	0.6331955143
201	0.6310639576
202	0.6281296859
203	0.6271628843
204	0.6256892186
205	0.6245796891
206	0.6231441334
207	0.6215578404
208	0.6184278265
209	0.6167573075
210	0.615830356
211	0.6151022638
212	0.6088260629
213	0.607352312
214	0.6056395434
215	0.604046979
