iter	Passed	Remaining
0	10	12636
1	12	7619
2	14	5864
3	16	4901
4	18	4386
5	20	4071
6	22	3875
7	24	3634
8	26	3519
9	29	3460
10	31	3419
11	33	3354
12	36	3294
13	37	3212
14	39	3137
15	41	3074
16	43	3043
17	45	3016
18	47	2981
19	49	2938
20	51	2902
21	53	2839
22	54	2795
23	56	2762
24	58	2729
25	59	2697
26	61	2657
27	62	2617
28	64	2586
29	65	2557
30	66	2523
31	68	2485
32	69	2459
33	70	2431
34	72	2398
35	73	2370
36	74	2341
37	75	2316
38	77	2292
39	78	2268
40	79	2243
41	80	2221
42	81	2205
43	83	2188
44	84	2170
45	85	2147
46	86	2131
47	88	2112
48	89	2094
49	90	2075
50	91	2057
51	92	2038
52	93	2019
53	94	2003
54	95	1989
55	96	1976
56	97	1962
57	99	1950
58	100	1938
59	101	1923
60	102	1910
61	103	1897
62	104	1885
63	105	1871
64	106	1860
65	107	1848
66	108	1836
67	109	1824
68	110	1811
69	111	1798
70	112	1787
71	113	1776
72	114	1767
73	115	1757
74	116	1749
75	117	1739
76	118	1731
77	119	1723
78	120	1714
79	121	1705
80	122	1697
81	123	1690
82	124	1680
83	125	1672
84	126	1664
85	127	1657
86	128	1649
87	129	1642
88	131	1635
89	132	1628
90	133	1621
91	134	1614
92	135	1608
93	136	1602
94	137	1595
95	138	1590
96	139	1587
97	140	1583
98	141	1579
99	143	1575
100	144	1571
101	145	1569
102	147	1566
103	148	1563
104	149	1559
105	150	1555
106	151	1552
107	153	1548
108	154	1544
109	155	1540
110	156	1537
111	157	1532
112	158	1528
113	160	1525
114	161	1521
115	162	1519
116	163	1516
117	165	1514
118	166	1510
119	167	1508
120	168	1504
121	169	1501
122	171	1500
123	172	1496
124	173	1493
125	174	1490
126	176	1488
127	177	1485
128	178	1481
129	179	1478
130	180	1476
131	182	1472
132	183	1468
133	184	1465
134	185	1462
135	186	1459
136	187	1457
137	189	1455
138	190	1452
139	191	1451
140	192	1449
141	194	1446
142	195	1444
143	196	1441
144	197	1438
145	198	1435
146	200	1433
147	201	1430
148	202	1428
149	203	1425
150	204	1423
151	206	1422
152	207	1419
153	208	1417
154	209	1414
155	210	1411
156	212	1409
157	213	1406
158	214	1404
159	215	1402
160	217	1400
161	218	1398
162	219	1396
163	220	1394
164	222	1392
165	223	1390
166	224	1389
167	228	1401
168	229	1400
169	230	1398
170	232	1396
171	233	1394
172	234	1391
173	235	1389
174	236	1387
175	238	1385
176	239	1383
177	240	1380
178	241	1378
179	242	1376
180	244	1374
181	245	1372
182	246	1370
183	247	1368
184	248	1365
185	250	1363
186	251	1361
187	252	1359
188	253	1357
189	255	1355
190	256	1353
191	257	1351
192	258	1349
193	259	1348
194	261	1346
195	262	1345
196	263	1343
197	265	1342
198	266	1339
199	267	1337
200	268	1336
