area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price
75,Phường Kiến Hưng,18,4.7,16,2,2,4,Không xác định,1,20.7
76,Phường Kiến Hưng,18,17,5,4,4,4,Không xác định,1,18.3
70,Phường Kiến Hưng,8,5.4,13,4,6,6,Không xác định,1,21.0
78,Phường Kiến Hưng,3,13.0,6,5,6,5,Không xác định,1,10.0
310,Phường Dương Nội,15,31.0,10,5,4,4,Không xác định,1,88.0
125,Phường Hà Đông,20,15.6,8,4,4,3,Không xác định,1,43.5
180,Phường Hà Đông,15,12.0,15,4,6,4,Không xác định,1,56.0
200,Phường Hà Đông,15,20.0,10,3,6,4,Không xác định,1,56.0
104,Phường Dương Nội,20,11.6,9,5,4,4,Không xác định,1,26.9
50,Phường Dương Nội,10,12.5,4,7,0,32861,Không xác định,1,16.8
45,,3,11.2,4,5,6,4,Không xác định,1,10.6
35,,6,8.8,4,4,3,3,Không xác định,1,15.0
39,,3,12,3,5,7,7,Không xác định,1,10.2
80,,10,13.3,6,8,6,7,Không xác định,1,23.0
26,,3,8,3,4,3,3,Nam,1,6.5
33,,3,11.0,3,5,5,5,Không xác định,1,5.2
80,,0,20.0,4,0,0,15087,Không xác định,0,10.6
47,,0,9.4,5,0,0,15086,Không xác định,1,6.1
39,,3,10,4,5,4,4,Không xác định,1,7.2
61,,10,122,5,4,5,4,Không xác định,1,20.0
62,,18,12.4,5,5,2,4,Không xác định,1,12.8
58,,5,7.2,8,7,14,14,Không xác định,1,14.2
74,,0,15,5,7,11,11,Không xác định,1,19.3
90,,4,15,6,4,4,4,Không xác định,1,24.0
46,,3,9,5,3,3,3,Không xác định,1,9.8
528,,2,12,44,3,3,14652,Không xác định,1,8.0
65,,15,16.2,4,5,3,4,Không xác định,1,31.0
150,,8,18.8,8,4,6,6,Không xác định,1,56.0
135,,15,6.4,21,5,3,5,Không xác định,1,36.0
83,,12,5.5,15,7,4,6,Không xác định,1,23.7
65,,20,9.3,7,7,6,6,Không xác định,1,28.5
60,Phường Dương Nội,0,12.0,5,3,3,3,Không xác định,1,9.2
170,,25,17.0,10,3,4,4,Không xác định,1,39.9
63,Phường Đống Đa,5,9.0,7,6,4,4,Không xác định,0,17.8
30,Phường Dương Nội,0,7.5,4,5,3,4,Không xác định,1,8.5
70,Phường Kiến Hưng,18,14,5,3,3,3,Không xác định,1,20.5
78,,2,15,5,4,4,4,Đông - Nam,1,23.0
63,,0,15,4,0,0,14650,Bắc,1,13.7
57,,5,12,5,4,4,4,Không xác định,1,9.89
51,,4,12.8,4,6,11,6,Không xác định,1,14.8
45,,3,11.2,4,5,6,5,Không xác định,1,12.5
70,,3,14.0,5,5,5,4,Không xác định,1,19.5
65,,15,13.0,5,5,4,4,Không xác định,1,20.8
