area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price,room_density,bath_per_bed,wide_ratio,distance_center
51,Phường Vĩnh Tuy,3,10.2,5,4,3,3,Không xác định,1,9.2,0.058823529,0.75,2.04,6.215673926
34,Phường Tương Mai,3,8.5,4,6,3,4,Không xác định,1,7.5,0.088235294,1,2.125,4.118833101
34,Phường Lĩnh Nam,3,6.8,5,5,3,4,Không xác định,1,8.85,0.088235294,1,1.36,5.816399273
43,Phường Tương Mai,3,14.3,3,5,6,4,Không xác định,1,10.5,0.139534884,0.571428571,4.766666667,4.127661659
51,Phường Vĩnh Tuy,4,7.3,7,6,4,5,Không xác định,1,19.8,0.078431373,1,1.042857143,2.888090915
52,Phường Vĩnh Tuy,3,13,4,4,4,3,Không xác định,1,10.2,0.076923077,0.6,3.25,4.794587115
39,Phường Tương Mai,3,13,3,5,3,4,Không xác định,1,10.6,0.076923077,1,4.333333333,3.264079486
30,Phường Tương Mai,3,7.5,4,7,3,5,Không xác định,1,9.8,0.1,1.25,1.875,2.868837208
55,Phường Tương Mai,3,18.3,3,5,6,4,Không xác định,1,11.8,0.109090909,0.571428571,6.1,4.005966027
90,Phường Tương Mai,4,15,6,3,2,3,Không xác định,0,10.2,0.022222222,1,2.5,9.629674501
39,Phường Tương Mai,3,7.8,5,4,3,3,Không xác định,1,8.15,0.076923077,0.75,1.56,4.245305835
26,Phường Vĩnh Tuy,3,5,5,3,3,3,Không xác định,1,7.1,0.115384615,0.75,1,3.621753992
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.85,0.1,1,1.2,4.104321846
73,Phường Tương Mai,5,14.6,5,4,3,3,Không xác định,1,20,0.04109589,0.75,2.92,2.730620096
56,Phường Lĩnh Nam,3,11.2,5,5,3,4,Không xác định,1,9.85,0.053571429,1,2.24,7.246171647
82,Phường Tương Mai,3,20.5,4,3,3,3,Không xác định,1,9.4,0.036585366,0.75,5.125,4.250016687
30,Phường Lĩnh Nam,3,10,3,5,3,4,Không xác định,1,6.35,0.1,1,3.333333333,7.377687911
55,Phường Tương Mai,3,13.8,4,4,4,3,Không xác định,1,13.35,0.072727273,0.6,3.45,3.540853867
63,Phường Tương Mai,4,12.6,5,5,4,4,Không xác định,1,13.8,0.063492063,0.8,2.52,4.389477327
27,Phường Vĩnh Tuy,4,9,3,4,4,3,Không xác định,1,8.85,0.148148148,0.6,3,2.805184196
39,Phường Tương Mai,4,9.8,4,5,4,3,Không xác định,1,9,0.102564103,0.6,2.45,3.844360284
49,Phường Vĩnh Tuy,4,12.2,4,3,4,3,Không xác định,1,11.3,0.081632653,0.6,3.05,3.546891912
40,Phường Tương Mai,3,10,4,5,6,4,Không xác định,1,8.35,0.15,0.571428571,2.5,3.715968814
43,Phường Tương Mai,3,10.8,4,5,4,4,Không xác định,1,8.9,0.093023256,0.8,2.7,4.869713193
55,Phường Lĩnh Nam,3,13.8,4,6,6,4,Không xác định,1,14.5,0.109090909,0.571428571,3.45,5.432294315
