area,address,street_in_front_of_house,width,height,floor_number,bedroom_number,bathroom_number,direction,law,price
51,Phường Vĩnh Tuy,3,10.2,5,4,3,3,Không xác định,1,9.2
34,Phường Tương Mai,3,8.5,4,6,3,4,Không xác định,1,7.5
34,Phường Lĩnh Nam,3,6.8,5,5,3,4,Không xác định,1,8.85
43,Phường Tương Mai,3,14.3,3,5,6,4,Không xác định,1,10.5
51,Phường Vĩnh Tuy,4,7.3,7,6,4,5,Không xác định,1,19.8
52,Phường Vĩnh Tuy,3,13,4,4,4,3,Không xác định,1,10.2
39,Phường Tương Mai,3,13,3,5,3,4,Không xác định,1,10.6
30,Phường Tương Mai,3,7.5,4,7,3,5,Không xác định,1,9.8
55,Phường Tương Mai,3,18.3,3,5,6,4,Không xác định,1,11.8
90,Phường Tương Mai,4,15,6,3,2,3,Không xác định,0,10.2
39,Phường Tương Mai,3,7.8,5,4,3,3,Không xác định,1,8.15
26,Phường Vĩnh Tuy,3,5,5,3,3,3,Không xác định,1,7.1
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.85
73,Phường Tương Mai,5,14.6,5,4,3,3,Không xác định,1,20
56,Phường Lĩnh Nam,3,11.2,5,5,3,4,Không xác định,1,9.85
82,Phường Tương Mai,3,20.5,4,3,3,3,Không xác định,1,9.4
30,Phường Lĩnh Nam,3,10,3,5,3,4,Không xác định,1,6.35
55,Phường Tương Mai,3,13.8,4,4,4,3,Không xác định,1,13.35
63,Phường Tương Mai,4,12.6,5,5,4,4,Không xác định,1,13.8
27,Phường Vĩnh Tuy,4,9,3,4,4,3,Không xác định,1,8.85
39,Phường Tương Mai,4,9.8,4,5,4,3,Không xác định,1,9
49,Phường Vĩnh Tuy,4,12.2,4,3,4,3,Không xác định,1,11.3
40,Phường Tương Mai,3,10,4,5,6,4,Không xác định,1,8.35
43,Phường Tương Mai,3,10.8,4,5,4,4,Không xác định,1,8.9
55,Phường Lĩnh Nam,3,13.8,4,6,6,4,Không xác định,1,14.5
50,Phường Vĩnh Tuy,4,16.7,3,4,4,3,Không xác định,1,10.9
39,Phường Tương Mai,3,9.8,4,5,3,4,Không xác định,1,6.35
30,Phường Tương Mai,3,6,5,5,3,4,Không xác định,1,6.2
30,Phường Bạch Mai,3,7.5,4,4,3,2,Không xác định,1,8.3
34,Phường Bạch Mai,3,11.3,3,3,2,2,Không xác định,1,6.8
31,Phường Tương Mai,3,7.8,4,4,3,3,Không xác định,1,6.95
34,Phường Tương Mai,3,8.5,4,6,3,4,Không xác định,1,7.85
35,Phường Tương Mai,3,8.8,4,6,3,4,Không xác định,1,7.85
40,Phường Vĩnh Tuy,3,13.3,3,4,4,4,Không xác định,1,7.98
45,Phường Tương Mai,3,7.5,6,4,4,3,Không xác định,1,9
